,NDC,PART_#,FILE,TYPE,DRUG,ORIG_FOLDER,IMAGES,FILENAME,FILETYPE,NDC_prod
2946,00009033102,1,PillProjectDisc58/images/CB4CEJKI72-2IAAF8SPNK-YD6QHSBHE.CR2,C3PI_Reference,CLEOCIN 75MG CAPS,PillProjectDisc58,images,CB4CEJKI72-2IAAF8SPNK-YD6QHSBHE.JPG,.CR2,000090331
2947,00009033102,1,PillProjectDisc95/images/MJ8SIXGLA!IDK6QKOJQ8N5DOBZIKHE.CR2,C3PI_Reference,CLEOCIN 75MG CAPS,PillProjectDisc95,images,MJ8SIXGLA!IDK6QKOJQ8N5DOBZIKHE.JPG,.CR2,000090331
2949,00009033102,1,PillProjectDisc107/images/XW27OGQ!GSTCS6SVCFSE6F!WHA7PYT.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc107,images,XW27OGQ!GSTCS6SVCFSE6F!WHA7PYT.JPG,.JPG,000090331
2950,00009033102,1,PillProjectDisc13/images/9CLLUNVVKAJ4Y!Q0R_4_H0I4EVZG5C.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc13,images,9CLLUNVVKAJ4Y!Q0R_4_H0I4EVZG5C.JPG,.JPG,000090331
2951,00009033102,1,PillProjectDisc17/images/B18QCJP3ZMIWFPGXJZ4R3I-OL2GR6Z-.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc17,images,B18QCJP3ZMIWFPGXJZ4R3I-OL2GR6Z-.JPG,.JPG,000090331
2952,00009033102,1,PillProjectDisc19/images/B2XET12FGU60SR2ZMVZJZXOJG_BI360.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc19,images,B2XET12FGU60SR2ZMVZJZXOJG_BI360.JPG,.JPG,000090331
2953,00009033102,1,PillProjectDisc30/images/BDZT1GIMITTC1VKC3S-NY05MIHJ6UM4.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc30,images,BDZT1GIMITTC1VKC3S-NY05MIHJ6UM4.JPG,.JPG,000090331
2954,00009033102,1,PillProjectDisc31/images/BER5I3MMB!JIJ7LR-7_HE_ES94MTW08.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc31,images,BER5I3MMB!JIJ7LR-7_HE_ES94MTW08.JPG,.JPG,000090331
2955,00009033102,1,PillProjectDisc33/images/BG4NJ2SKOGABIELD41E5VNON2ZRWB7!.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc33,images,BG4NJ2SKOGABIELD41E5VNON2ZRWB7!.JPG,.JPG,000090331
2956,00009033102,1,PillProjectDisc36/images/BJ52H462EPN_C2LB2ESKV1KQZKGOI7X.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc36,images,BJ52H462EPN_C2LB2ESKV1KQZKGOI7X.JPG,.JPG,000090331
2957,00009033102,1,PillProjectDisc3/images/0IE7QY7QZUKF_6BZBY01A97AZI9QU-.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc3,images,0IE7QY7QZUKF_6BZBY01A97AZI9QU-.JPG,.JPG,000090331
2958,00009033102,1,PillProjectDisc3/images/0KTAG-WI7CVEEXJ4KXJSPZPVHIU!JY.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc3,images,0KTAG-WI7CVEEXJ4KXJSPZPVHIU!JY.JPG,.JPG,000090331
2959,00009033102,1,PillProjectDisc42/images/BPAESUOR4Y2XML-UPEO2PI9CQQB!!XL.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc42,images,BPAESUOR4Y2XML-UPEO2PI9CQQB!!XL.JPG,.JPG,000090331
2960,00009033102,1,PillProjectDisc48/images/BUU!J_QV!H7WYMZ832IYR2PMLNARS25.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc48,images,BUU!J_QV!H7WYMZ832IYR2PMLNARS25.JPG,.JPG,000090331
2961,00009033102,1,PillProjectDisc50/images/BWYIWBE22E_BPO1T9R5JF1Z21Q1T7MJ.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc50,images,BWYIWBE22E_BPO1T9R5JF1Z21Q1T7MJ.JPG,.JPG,000090331
2962,00009033102,1,PillProjectDisc56/images/C1GRYTFZQ3R-_2Y-2EZ!2N8ZQPWEHBY.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc56,images,C1GRYTFZQ3R-_2Y-2EZ!2N8ZQPWEHBY.JPG,.JPG,000090331
2963,00009033102,1,PillProjectDisc57/images/CALXH3_OFFE9KR3WONBIEC2JV_6Q4IE.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc57,images,CALXH3_OFFE9KR3WONBIEC2JV_6Q4IE.JPG,.JPG,000090331
2964,00009033102,1,PillProjectDisc59/images/CC4CBWUQF!7RJCQ9WQ3D6ZK-W1PFL7Y.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc59,images,CC4CBWUQF!7RJCQ9WQ3D6ZK-W1PFL7Y.JPG,.JPG,000090331
2965,00009033102,1,PillProjectDisc61/images/CED6E3OE!8HI!T7R8SIW71S9DW9K0WS.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc61,images,CED6E3OE!8HI!T7R8SIW71S9DW9K0WS.JPG,.JPG,000090331
2966,00009033102,1,PillProjectDisc72/images/COOH7X!2BA64J!7Z33GJOZ!206XL2-B.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc72,images,COOH7X!2BA64J!7Z33GJOZ!206XL2-B.JPG,.JPG,000090331
2967,00009033102,1,PillProjectDisc74/images/CQJ9W4M8W2PNTZ0WVSZKSGE_!L2BWNY.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc74,images,CQJ9W4M8W2PNTZ0WVSZKSGE_!L2BWNY.JPG,.JPG,000090331
2968,00009033102,1,PillProjectDisc77/images/CS_0H6-PTPQM3ZBYYSU9!4K22F-HTG_.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc77,images,CS_0H6-PTPQM3ZBYYSU9!4K22F-HTG_.JPG,.JPG,000090331
2969,00009033102,1,PillProjectDisc78/images/CTLCC2SZ1KUW31KN44A5SLA1P4JA64O.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc78,images,CTLCC2SZ1KUW31KN44A5SLA1P4JA64O.JPG,.JPG,000090331
2970,00009033102,1,PillProjectDisc80/images/CVPS5!8Z2G!UVCXH!RT-OB-TKB-A0K7.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc80,images,CVPS5!8Z2G!UVCXH!RT-OB-TKB-A0K7.JPG,.JPG,000090331
2971,00009033102,1,PillProjectDisc83/images/CY1UDI1-O2DIN0T_T-__31IKIEN63PG.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc83,images,CY1UDI1-O2DIN0T_T-__31IKIEN63PG.JPG,.JPG,000090331
2972,00009033102,1,PillProjectDisc84/images/CZ6GV5TE3_-40PXGTB6FYRZT-S-X!U.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc84,images,CZ6GV5TE3_-40PXGTB6FYRZT-S-X!U.JPG,.JPG,000090331
2973,00009033102,1,PillProjectDisc86/images/E2I15T5XHLC84DPG!MHT_3ZK-X41YG.JPG,C3PI_Test,CLEOCIN 75MG CAPS,PillProjectDisc86,images,E2I15T5XHLC84DPG!MHT_3ZK-X41YG.JPG,.JPG,000090331
